<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20100111,000000,1750.9800000
LKOH,D,20100112,000000,1719.8200000
LKOH,D,20100113,000000,1709.4400000
LKOH,D,20100114,000000,1726.8000000
LKOH,D,20100115,000000,1731.9500000
LKOH,D,20100118,000000,1745.0000000
LKOH,D,20100119,000000,1749.0000000
LKOH,D,20100120,000000,1726.9000000
LKOH,D,20100121,000000,1699.9800000
LKOH,D,20100122,000000,1675.9900000
LKOH,D,20100125,000000,1675.0000000
LKOH,D,20100126,000000,1631.3700000
LKOH,D,20100127,000000,1638.9600000
LKOH,D,20100128,000000,1656.1000000
LKOH,D,20100129,000000,1686.7300000
LKOH,D,20100201,000000,1685.3000000
LKOH,D,20100202,000000,1711.0000000
LKOH,D,20100203,000000,1694.8800000
LKOH,D,20100204,000000,1661.0600000
LKOH,D,20100205,000000,1617.0400000
LKOH,D,20100208,000000,1580.0600000
LKOH,D,20100209,000000,1594.2900000
LKOH,D,20100210,000000,1563.0400000
LKOH,D,20100211,000000,1554.0000000
LKOH,D,20100212,000000,1517.0000000
LKOH,D,20100215,000000,1547.5500000
LKOH,D,20100216,000000,1583.7500000
LKOH,D,20100217,000000,1566.0100000
LKOH,D,20100218,000000,1563.0900000
LKOH,D,20100219,000000,1589.8800000
LKOH,D,20100224,000000,1566.8300000
LKOH,D,20100225,000000,1548.8800000
LKOH,D,20100226,000000,1579.8500000
LKOH,D,20100227,000000,1574.0000000
LKOH,D,20100301,000000,1602.3700000
LKOH,D,20100302,000000,1622.5000000
LKOH,D,20100303,000000,1624.1600000
LKOH,D,20100304,000000,1626.0000000
LKOH,D,20100305,000000,1641.8600000
LKOH,D,20100309,000000,1603.0000000
LKOH,D,20100310,000000,1576.0000000
LKOH,D,20100311,000000,1580.0000000
LKOH,D,20100312,000000,1603.6600000
LKOH,D,20100315,000000,1590.8800000
LKOH,D,20100316,000000,1633.1400000
LKOH,D,20100317,000000,1690.7500000
LKOH,D,20100318,000000,1704.1000000
LKOH,D,20100319,000000,1688.2500000
LKOH,D,20100322,000000,1689.9600000
LKOH,D,20100323,000000,1664.0000000
LKOH,D,20100324,000000,1648.9500000
LKOH,D,20100325,000000,1631.1000000
LKOH,D,20100326,000000,1646.0000000
LKOH,D,20100329,000000,1674.1000000
LKOH,D,20100330,000000,1665.0000000
LKOH,D,20100331,000000,1670.5000000
LKOH,D,20100401,000000,1696.0000000
LKOH,D,20100402,000000,1701.0000000
LKOH,D,20100405,000000,1729.5000000
LKOH,D,20100406,000000,1767.6700000
LKOH,D,20100407,000000,1750.6300000
LKOH,D,20100408,000000,1728.8300000
LKOH,D,20100409,000000,1740.0600000
LKOH,D,20100412,000000,1745.7400000
LKOH,D,20100413,000000,1728.9100000
LKOH,D,20100414,000000,1745.9600000
LKOH,D,20100415,000000,1765.0500000
LKOH,D,20100416,000000,1730.0000000
LKOH,D,20100419,000000,1684.1800000
LKOH,D,20100420,000000,1689.2000000
LKOH,D,20100421,000000,1698.8900000
LKOH,D,20100422,000000,1682.2200000
LKOH,D,20100423,000000,1702.8900000
LKOH,D,20100426,000000,1726.0000000
LKOH,D,20100427,000000,1705.0000000
LKOH,D,20100428,000000,1673.1100000
LKOH,D,20100429,000000,1682.0000000
LKOH,D,20100430,000000,1670.4800000
LKOH,D,20100504,000000,1650.0000000
LKOH,D,20100505,000000,1677.0000000
LKOH,D,20100506,000000,1656.5200000
LKOH,D,20100507,000000,1600.0200000
LKOH,D,20100511,000000,1605.0100000
LKOH,D,20100512,000000,1625.9000000
LKOH,D,20100513,000000,1605.7200000
LKOH,D,20100514,000000,1589.9600000
LKOH,D,20100517,000000,1580.0000000
LKOH,D,20100518,000000,1558.1200000
LKOH,D,20100519,000000,1523.5000000
LKOH,D,20100520,000000,1475.0000000
LKOH,D,20100521,000000,1474.9300000
LKOH,D,20100524,000000,1477.1100000
LKOH,D,20100525,000000,1400.9300000
LKOH,D,20100526,000000,1451.3100000
LKOH,D,20100527,000000,1503.9900000
LKOH,D,20100528,000000,1476.7800000
LKOH,D,20100531,000000,1523.0600000
LKOH,D,20100601,000000,1508.1000000
LKOH,D,20100602,000000,1549.9300000
LKOH,D,20100603,000000,1591.0000000
LKOH,D,20100604,000000,1621.9700000
LKOH,D,20100607,000000,1615.0000000
LKOH,D,20100608,000000,1595.0000000
LKOH,D,20100609,000000,1605.7000000
LKOH,D,20100610,000000,1671.9500000
LKOH,D,20100611,000000,1680.0000000
LKOH,D,20100615,000000,1697.1800000
LKOH,D,20100616,000000,1713.0000000
LKOH,D,20100617,000000,1662.9500000
LKOH,D,20100618,000000,1653.1100000
LKOH,D,20100621,000000,1695.2000000
LKOH,D,20100622,000000,1685.0000000
LKOH,D,20100623,000000,1700.0000000
LKOH,D,20100624,000000,1685.9900000
LKOH,D,20100625,000000,1701.3400000
LKOH,D,20100628,000000,1685.0000000
LKOH,D,20100629,000000,1648.3500000
LKOH,D,20100630,000000,1615.0000000
LKOH,D,20100701,000000,1550.0900000
LKOH,D,20100702,000000,1586.4000000
LKOH,D,20100705,000000,1584.7900000
LKOH,D,20100706,000000,1604.0000000
LKOH,D,20100707,000000,1600.7000000
LKOH,D,20100708,000000,1596.9400000
LKOH,D,20100709,000000,1591.9400000
LKOH,D,20100712,000000,1625.2300000
LKOH,D,20100713,000000,1659.0000000
LKOH,D,20100714,000000,1631.8200000
LKOH,D,20100715,000000,1609.7000000
LKOH,D,20100716,000000,1592.0000000
LKOH,D,20100719,000000,1593.0400000
LKOH,D,20100720,000000,1593.0000000
LKOH,D,20100721,000000,1637.0400000
LKOH,D,20100722,000000,1670.0000000
LKOH,D,20100723,000000,1680.0000000
LKOH,D,20100726,000000,1694.9800000
LKOH,D,20100727,000000,1690.2400000
LKOH,D,20100728,000000,1749.9900000
LKOH,D,20100729,000000,1759.0500000
LKOH,D,20100730,000000,1720.0000000
LKOH,D,20100802,000000,1724.9200000
LKOH,D,20100803,000000,1693.5000000
LKOH,D,20100804,000000,1684.4700000
LKOH,D,20100805,000000,1700.0000000
LKOH,D,20100806,000000,1696.0000000
LKOH,D,20100809,000000,1706.0500000
LKOH,D,20100810,000000,1674.6700000
LKOH,D,20100811,000000,1657.0000000
LKOH,D,20100812,000000,1660.0000000
LKOH,D,20100813,000000,1650.0900000
LKOH,D,20100816,000000,1650.0000000
LKOH,D,20100817,000000,1652.0100000
LKOH,D,20100818,000000,1650.0000000
LKOH,D,20100819,000000,1637.0700000
LKOH,D,20100820,000000,1645.8700000
LKOH,D,20100823,000000,1644.0000000
LKOH,D,20100824,000000,1630.0000000
LKOH,D,20100825,000000,1638.3000000
LKOH,D,20100826,000000,1652.9900000
LKOH,D,20100827,000000,1668.0000000
LKOH,D,20100830,000000,1655.0800000
LKOH,D,20100831,000000,1629.9900000
LKOH,D,20100901,000000,1656.1800000
LKOH,D,20100902,000000,1676.0000000
LKOH,D,20100903,000000,1674.0100000
LKOH,D,20100906,000000,1669.9400000
LKOH,D,20100907,000000,1671.0000000
LKOH,D,20100908,000000,1678.0000000
LKOH,D,20100909,000000,1715.0000000
LKOH,D,20100910,000000,1713.0000000
LKOH,D,20100913,000000,1713.5100000
LKOH,D,20100914,000000,1703.0000000
LKOH,D,20100915,000000,1720.9800000
LKOH,D,20100916,000000,1721.2000000
LKOH,D,20100917,000000,1702.0000000
LKOH,D,20100920,000000,1728.2700000
LKOH,D,20100921,000000,1743.3000000
LKOH,D,20100922,000000,1798.0500000
LKOH,D,20100923,000000,1797.0000000
LKOH,D,20100924,000000,1802.0000000
LKOH,D,20100927,000000,1728.9600000
LKOH,D,20100928,000000,1724.8500000
LKOH,D,20100929,000000,1708.1700000
LKOH,D,20100930,000000,1733.0400000
LKOH,D,20101001,000000,1749.0000000
LKOH,D,20101004,000000,1740.0100000
LKOH,D,20101005,000000,1754.1000000
LKOH,D,20101006,000000,1760.5800000
LKOH,D,20101007,000000,1742.9500000
LKOH,D,20101008,000000,1728.5000000
LKOH,D,20101011,000000,1750.0000000
LKOH,D,20101012,000000,1757.5000000
LKOH,D,20101013,000000,1785.0000000
LKOH,D,20101014,000000,1797.0000000
LKOH,D,20101015,000000,1785.0000000
LKOH,D,20101018,000000,1780.1000000
LKOH,D,20101019,000000,1751.1300000
LKOH,D,20101020,000000,1745.8100000
LKOH,D,20101021,000000,1758.4900000
LKOH,D,20101022,000000,1735.0000000
LKOH,D,20101025,000000,1740.7300000
LKOH,D,20101026,000000,1740.8500000
LKOH,D,20101027,000000,1730.9900000
LKOH,D,20101028,000000,1709.0500000
LKOH,D,20101029,000000,1734.1300000
LKOH,D,20101101,000000,1750.0000000
LKOH,D,20101102,000000,1758.0000000
LKOH,D,20101103,000000,1754.8800000
LKOH,D,20101108,000000,1772.0000000
LKOH,D,20101109,000000,1800.0000000
LKOH,D,20101110,000000,1769.0700000
